REF_DATE,GEO,DGUID,Type_of_structure,Type_of_unit,VECTOR,COORDINATE,VALUE
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,One bedroom units,v3824030,105.1.2,892.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Two bedroom units,v3824164,105.1.3,1009.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Three bedroom units,v3824298,105.1.4,1103.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Bachelor units,v3824432,105.4.1,760.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,One bedroom units,v3824620,105.4.2,905.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Two bedroom units,v3824808,105.4.3,1030.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Three bedroom units,v3824996,105.4.4,1143.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Bachelor units,v3822826,106.3.1,780.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,One bedroom units,v3822960,106.3.2,936.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Two bedroom units,v3823094,106.3.3,1131.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Three bedroom units,v3823228,106.3.4,1320.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,One bedroom units,v3823496,106.2.2,932.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Two bedroom units,v3823630,106.2.3,1117.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Three bedroom units,v3823764,106.2.4,1272.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Bachelor units,v3823898,106.1.1,780.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,One bedroom units,v3824032,106.1.2,936.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Two bedroom units,v3824166,106.1.3,1132.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Three bedroom units,v3824300,106.1.4,1415.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Bachelor units,v3824434,106.4.1,782.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,One bedroom units,v3824622,106.4.2,941.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Two bedroom units,v3824810,106.4.3,1136.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Three bedroom units,v3824998,106.4.4,1421.0
2014,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Bachelor units,v3822835,125.3.1,896.0
2014,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,One bedroom units,v3822969,125.3.2,1067.0
2014,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Two bedroom units,v3823103,125.3.3,1251.0
2014,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Three bedroom units,v3823237,125.3.4,1466.0
2014,"Toronto, Ontario",2011S0503535,Row structures of three units and over,One bedroom units,v3823505,125.2.2,979.0
2014,"Toronto, Ontario",2011S0503535,Row structures of three units and over,Two bedroom units,v3823639,125.2.3,1207.0
2014,"Toronto, Ontario",2011S0503535,Row structures of three units and over,Three bedroom units,v3823773,125.2.4,1496.0
2014,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Bachelor units,v3823907,125.1.1,896.0
2014,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,One bedroom units,v3824041,125.1.2,1067.0
2014,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Two bedroom units,v3824175,125.1.3,1251.0
2014,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Three bedroom units,v3824309,125.1.4,1458.0
2014,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Bachelor units,v3824443,125.4.1,900.0
2014,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,One bedroom units,v3824631,125.4.2,1069.0
2014,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Two bedroom units,v3824819,125.4.3,1249.0
2014,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Three bedroom units,v3825007,125.4.4,1437.0
2014,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,Bachelor units,v3822837,184.3.1,903.0
2014,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,One bedroom units,v3822971,184.3.2,1038.0
2014,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,Two bedroom units,v3823105,184.3.3,1317.0
2014,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,Three bedroom units,v3823239,184.3.4,1530.0
2014,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,Bachelor units,v3823373,184.2.1,1182.0
2014,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,One bedroom units,v3823507,184.2.2,958.0
2014,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,Two bedroom units,v3823641,184.2.3,1488.0
2014,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,Three bedroom units,v3823775,184.2.4,1518.0
2014,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,Bachelor units,v3823909,184.1.1,902.0
2014,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,One bedroom units,v3824043,184.1.2,1038.0
2014,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,Two bedroom units,v3824177,184.1.3,1311.0
2014,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,Three bedroom units,v3824311,184.1.4,1542.0
2014,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,Bachelor units,v3824445,184.4.1,903.0
2014,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,One bedroom units,v3824633,184.4.2,1040.0
2014,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,Two bedroom units,v3824821,184.4.3,1313.0
2014,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,Three bedroom units,v3825009,184.4.4,1552.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Bachelor units,v3822825,37.3.1,574.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,One bedroom units,v3822959,37.3.2,656.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Two bedroom units,v3823093,37.3.3,751.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Three bedroom units,v3823227,37.3.4,851.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Two bedroom units,v3823629,37.2.3,759.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Three bedroom units,v3823763,37.2.4,879.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Bachelor units,v3823897,37.1.1,574.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,One bedroom units,v3824031,37.1.2,656.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Two bedroom units,v3824165,37.1.3,751.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Three bedroom units,v3824299,37.1.4,850.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Bachelor units,v3824433,37.4.1,595.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,One bedroom units,v3824621,37.4.2,667.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Two bedroom units,v3824809,37.4.3,754.0
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Three bedroom units,v3824997,37.4.4,848.0
2015,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,Bachelor units,v3822821,46.3.1,573.0
2015,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,One bedroom units,v3822955,46.3.2,668.0
2015,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,Two bedroom units,v3823089,46.3.3,760.0
2015,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,Three bedroom units,v3823223,46.3.4,953.0
2015,"Montréal, Quebec",2011S0503462,Row structures of three units and over,One bedroom units,v3823491,46.2.2,712.0
2015,"Montréal, Quebec",2011S0503462,Row structures of three units and over,Two bedroom units,v3823625,46.2.3,900.0
2015,"Montréal, Quebec",2011S0503462,Row structures of three units and over,Three bedroom units,v3823759,46.2.4,1302.0
2015,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,Bachelor units,v3823893,46.1.1,573.0
2015,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,One bedroom units,v3824027,46.1.2,668.0
2015,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,Two bedroom units,v3824161,46.1.3,760.0
2015,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,Three bedroom units,v3824295,46.1.4,952.0
2015,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,Bachelor units,v3824429,46.4.1,586.0
2015,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,One bedroom units,v3824617,46.4.2,712.0
2015,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,Two bedroom units,v3824805,46.4.3,778.0
2015,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,Three bedroom units,v3824993,46.4.4,940.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Bachelor units,v3822824,105.3.1,768.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,One bedroom units,v3822958,105.3.2,925.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Two bedroom units,v3823092,105.3.3,1044.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Three bedroom units,v3823226,105.3.4,1203.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,One bedroom units,v3823494,105.2.2,928.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Two bedroom units,v3823628,105.2.3,1156.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Three bedroom units,v3823762,105.2.4,1295.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Bachelor units,v3823896,105.1.1,768.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,One bedroom units,v3824030,105.1.2,925.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Two bedroom units,v3824164,105.1.3,1037.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Three bedroom units,v3824298,105.1.4,1111.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Bachelor units,v3824432,105.4.1,779.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,One bedroom units,v3824620,105.4.2,939.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Two bedroom units,v3824808,105.4.3,1059.0
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Three bedroom units,v3824996,105.4.4,1156.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Bachelor units,v3822826,106.3.1,801.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,One bedroom units,v3822960,106.3.2,972.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Two bedroom units,v3823094,106.3.3,1174.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Three bedroom units,v3823228,106.3.4,1329.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,One bedroom units,v3823496,106.2.2,932.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Two bedroom units,v3823630,106.2.3,1172.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Three bedroom units,v3823764,106.2.4,1299.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Bachelor units,v3823898,106.1.1,801.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,One bedroom units,v3824032,106.1.2,972.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Two bedroom units,v3824166,106.1.3,1174.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Three bedroom units,v3824300,106.1.4,1390.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Bachelor units,v3824434,106.4.1,805.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,One bedroom units,v3824622,106.4.2,977.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Two bedroom units,v3824810,106.4.3,1178.0
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Three bedroom units,v3824998,106.4.4,1393.0
2015,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Bachelor units,v3822835,125.3.1,937.0
2015,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,One bedroom units,v3822969,125.3.2,1103.0
2015,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Two bedroom units,v3823103,125.3.3,1286.0
2015,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Three bedroom units,v3823237,125.3.4,1516.0
2015,"Toronto, Ontario",2011S0503535,Row structures of three units and over,One bedroom units,v3823505,125.2.2,1088.0
2015,"Toronto, Ontario",2011S0503535,Row structures of three units and over,Two bedroom units,v3823639,125.2.3,1143.0
2015,"Toronto, Ontario",2011S0503535,Row structures of three units and over,Three bedroom units,v3823773,125.2.4,1545.0
2015,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Bachelor units,v3823907,125.1.1,937.0
2015,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,One bedroom units,v3824041,125.1.2,1103.0
2015,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Two bedroom units,v3824175,125.1.3,1288.0
2015,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Three bedroom units,v3824309,125.1.4,1510.0
2015,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Bachelor units,v3824443,125.4.1,941.0
2015,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,One bedroom units,v3824631,125.4.2,1103.0
2015,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Two bedroom units,v3824819,125.4.3,1283.0
2015,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Three bedroom units,v3825007,125.4.4,1488.0
2015,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,Bachelor units,v3822837,184.3.1,938.0
2015,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,One bedroom units,v3822971,184.3.2,1079.0
2015,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,Two bedroom units,v3823105,184.3.3,1375.0
2015,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,Three bedroom units,v3823239,184.3.4,1605.0
2015,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,Bachelor units,v3823373,184.2.1,1229.0
2015,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,One bedroom units,v3823507,184.2.2,1000.0
2015,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,Two bedroom units,v3823641,184.2.3,1600.0
2015,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,Three bedroom units,v3823775,184.2.4,1594.0
2015,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,Bachelor units,v3823909,184.1.1,937.0
2015,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,One bedroom units,v3824043,184.1.2,1079.0
2015,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,Two bedroom units,v3824177,184.1.3,1368.0
2015,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,Three bedroom units,v3824311,184.1.4,1615.0
2015,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,Bachelor units,v3824445,184.4.1,938.0
2015,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,One bedroom units,v3824633,184.4.2,1080.0
2015,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,Two bedroom units,v3824821,184.4.3,1371.0
2015,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,Three bedroom units,v3825009,184.4.4,1616.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Bachelor units,v3822825,37.3.1,577.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,One bedroom units,v3822959,37.3.2,653.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Two bedroom units,v3823093,37.3.3,762.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Three bedroom units,v3823227,37.3.4,857.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Two bedroom units,v3823629,37.2.3,760.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Three bedroom units,v3823763,37.2.4,815.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Bachelor units,v3823897,37.1.1,577.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,One bedroom units,v3824031,37.1.2,653.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Two bedroom units,v3824165,37.1.3,762.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Three bedroom units,v3824299,37.1.4,859.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Bachelor units,v3824433,37.4.1,601.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,One bedroom units,v3824621,37.4.2,668.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Two bedroom units,v3824809,37.4.3,764.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Three bedroom units,v3824997,37.4.4,848.0
2016,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,Bachelor units,v3822821,46.3.1,586.0
2016,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,One bedroom units,v3822955,46.3.2,679.0
2016,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,Two bedroom units,v3823089,46.3.3,791.0
2016,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,Three bedroom units,v3823223,46.3.4,958.0
2016,"Montréal, Quebec",2011S0503462,Row structures of three units and over,One bedroom units,v3823491,46.2.2,685.0
2016,"Montréal, Quebec",2011S0503462,Row structures of three units and over,Two bedroom units,v3823625,46.2.3,896.0
2016,"Montréal, Quebec",2011S0503462,Row structures of three units and over,Three bedroom units,v3823759,46.2.4,1284.0
2016,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,Bachelor units,v3823893,46.1.1,586.0
2016,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,One bedroom units,v3824027,46.1.2,679.0
2016,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,Two bedroom units,v3824161,46.1.3,791.0
2016,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,Three bedroom units,v3824295,46.1.4,956.0
2016,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,Bachelor units,v3824429,46.4.1,596.0
2016,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,One bedroom units,v3824617,46.4.2,719.0
2016,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,Two bedroom units,v3824805,46.4.3,792.0
2016,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,Three bedroom units,v3824993,46.4.4,953.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Bachelor units,v3822824,105.3.1,781.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,One bedroom units,v3822958,105.3.2,930.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Two bedroom units,v3823092,105.3.3,1062.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Three bedroom units,v3823226,105.3.4,1235.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,One bedroom units,v3823494,105.2.2,794.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Two bedroom units,v3823628,105.2.3,1177.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Three bedroom units,v3823762,105.2.4,1318.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Bachelor units,v3823896,105.1.1,781.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,One bedroom units,v3824030,105.1.2,930.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Two bedroom units,v3824164,105.1.3,1055.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Three bedroom units,v3824298,105.1.4,1147.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Bachelor units,v3824432,105.4.1,792.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,One bedroom units,v3824620,105.4.2,948.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Two bedroom units,v3824808,105.4.3,1078.0
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Three bedroom units,v3824996,105.4.4,1183.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Bachelor units,v3822826,106.3.1,812.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,One bedroom units,v3822960,106.3.2,982.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Two bedroom units,v3823094,106.3.3,1201.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Three bedroom units,v3823228,106.3.4,1372.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,One bedroom units,v3823496,106.2.2,797.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Two bedroom units,v3823630,106.2.3,1196.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Three bedroom units,v3823764,106.2.4,1332.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Bachelor units,v3823898,106.1.1,812.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,One bedroom units,v3824032,106.1.2,982.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Two bedroom units,v3824166,106.1.3,1201.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Three bedroom units,v3824300,106.1.4,1457.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Bachelor units,v3824434,106.4.1,813.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,One bedroom units,v3824622,106.4.2,990.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Two bedroom units,v3824810,106.4.3,1204.0
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Three bedroom units,v3824998,106.4.4,1460.0
2016,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Bachelor units,v3822835,125.3.1,957.0
2016,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,One bedroom units,v3822969,125.3.2,1132.0
2016,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Two bedroom units,v3823103,125.3.3,1326.0
2016,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Three bedroom units,v3823237,125.3.4,1525.0
2016,"Toronto, Ontario",2011S0503535,Row structures of three units and over,Two bedroom units,v3823639,125.2.3,1274.0
2016,"Toronto, Ontario",2011S0503535,Row structures of three units and over,Three bedroom units,v3823773,125.2.4,1567.0
2016,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Bachelor units,v3823907,125.1.1,957.0
2016,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,One bedroom units,v3824041,125.1.2,1132.0
2016,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Two bedroom units,v3824175,125.1.3,1327.0
2016,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Three bedroom units,v3824309,125.1.4,1515.0
2016,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Bachelor units,v3824443,125.4.1,959.0
2016,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,One bedroom units,v3824631,125.4.2,1134.0
2016,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Two bedroom units,v3824819,125.4.3,1326.0
