REF_DATE,GEO,DGUID,Type_of_structure,Type_of_unit,VECTOR,COORDINATE,VALUE
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,One bedroom units,v3824620,105.4.2,888.0
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Two bedroom units,v3824808,105.4.3,1007.0
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Three bedroom units,v3824996,105.4.4,1129.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Bachelor units,v3822826,106.3.1,754.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,One bedroom units,v3822960,106.3.2,916.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Two bedroom units,v3823094,106.3.3,1115.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Three bedroom units,v3823228,106.3.4,1295.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,One bedroom units,v3823496,106.2.2,903.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Two bedroom units,v3823630,106.2.3,1120.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Three bedroom units,v3823764,106.2.4,1263.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Bachelor units,v3823898,106.1.1,754.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,One bedroom units,v3824032,106.1.2,916.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Two bedroom units,v3824166,106.1.3,1115.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Three bedroom units,v3824300,106.1.4,1377.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Bachelor units,v3824434,106.4.1,757.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,One bedroom units,v3824622,106.4.2,921.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Two bedroom units,v3824810,106.4.3,1117.0
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Three bedroom units,v3824998,106.4.4,1406.0
2012,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Bachelor units,v3822835,125.3.1,837.0
2012,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,One bedroom units,v3822969,125.3.2,1007.0
2012,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Two bedroom units,v3823103,125.3.3,1183.0
2012,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Three bedroom units,v3823237,125.3.4,1411.0
2012,"Toronto, Ontario",2011S0503535,Row structures of three units and over,Two bedroom units,v3823639,125.2.3,1191.0
2012,"Toronto, Ontario",2011S0503535,Row structures of three units and over,Three bedroom units,v3823773,125.2.4,1403.0
2012,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Bachelor units,v3823907,125.1.1,837.0
2012,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,One bedroom units,v3824041,125.1.2,1007.0
2012,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Two bedroom units,v3824175,125.1.3,1183.0
2012,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Three bedroom units,v3824309,125.1.4,1413.0
2012,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Bachelor units,v3824443,125.4.1,841.0
2012,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,One bedroom units,v3824631,125.4.2,1009.0
2012,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Two bedroom units,v3824819,125.4.3,1180.0
2012,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Three bedroom units,v3825007,125.4.4,1393.0
2012,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,Bachelor units,v3822837,184.3.1,866.0
2012,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,One bedroom units,v3822971,184.3.2,982.0
2012,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,Two bedroom units,v3823105,184.3.3,1267.0
2012,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,Three bedroom units,v3823239,184.3.4,1471.0
2012,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,Bachelor units,v3823373,184.2.1,1137.0
2012,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,One bedroom units,v3823507,184.2.2,888.0
2012,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,Two bedroom units,v3823641,184.2.3,1452.0
2012,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,Three bedroom units,v3823775,184.2.4,1461.0
2012,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,Bachelor units,v3823909,184.1.1,864.0
2012,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,One bedroom units,v3824043,184.1.2,982.0
2012,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,Two bedroom units,v3824177,184.1.3,1261.0
2012,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,Three bedroom units,v3824311,184.1.4,1480.0
2012,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,Bachelor units,v3824445,184.4.1,865.0
2012,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,One bedroom units,v3824633,184.4.2,983.0
2012,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,Two bedroom units,v3824821,184.4.3,1263.0
2012,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,Three bedroom units,v3825009,184.4.4,1481.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Bachelor units,v3822825,37.3.1,550.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,One bedroom units,v3822959,37.3.2,617.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Two bedroom units,v3823093,37.3.3,745.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Three bedroom units,v3823227,37.3.4,833.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Two bedroom units,v3823629,37.2.3,807.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Three bedroom units,v3823763,37.2.4,902.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Bachelor units,v3823897,37.1.1,550.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,One bedroom units,v3824031,37.1.2,617.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Two bedroom units,v3824165,37.1.3,744.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Three bedroom units,v3824299,37.1.4,831.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Bachelor units,v3824433,37.4.1,566.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,One bedroom units,v3824621,37.4.2,640.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Two bedroom units,v3824809,37.4.3,749.0
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Three bedroom units,v3824997,37.4.4,848.0
2013,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,Bachelor units,v3822821,46.3.1,555.0
2013,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,One bedroom units,v3822955,46.3.2,651.0
2013,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,Two bedroom units,v3823089,46.3.3,730.0
2013,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,Three bedroom units,v3823223,46.3.4,879.0
2013,"Montréal, Quebec",2011S0503462,Row structures of three units and over,One bedroom units,v3823491,46.2.2,634.0
2013,"Montréal, Quebec",2011S0503462,Row structures of three units and over,Two bedroom units,v3823625,46.2.3,890.0
2013,"Montréal, Quebec",2011S0503462,Row structures of three units and over,Three bedroom units,v3823759,46.2.4,1213.0
2013,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,Bachelor units,v3823893,46.1.1,555.0
2013,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,One bedroom units,v3824027,46.1.2,651.0
2013,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,Two bedroom units,v3824161,46.1.3,730.0
2013,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,Three bedroom units,v3824295,46.1.4,878.0
2013,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,Bachelor units,v3824429,46.4.1,557.0
2013,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,One bedroom units,v3824617,46.4.2,676.0
2013,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,Two bedroom units,v3824805,46.4.3,742.0
2013,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,Three bedroom units,v3824993,46.4.4,875.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Bachelor units,v3822824,105.3.1,737.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,One bedroom units,v3822958,105.3.2,884.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Two bedroom units,v3823092,105.3.3,1009.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Three bedroom units,v3823226,105.3.4,1192.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,One bedroom units,v3823494,105.2.2,909.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Two bedroom units,v3823628,105.2.3,1111.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Three bedroom units,v3823762,105.2.4,1281.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Bachelor units,v3823896,105.1.1,737.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,One bedroom units,v3824030,105.1.2,884.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Two bedroom units,v3824164,105.1.3,1003.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Three bedroom units,v3824298,105.1.4,1097.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Bachelor units,v3824432,105.4.1,746.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,One bedroom units,v3824620,105.4.2,899.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Two bedroom units,v3824808,105.4.3,1024.0
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Three bedroom units,v3824996,105.4.4,1142.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Bachelor units,v3822826,106.3.1,766.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,One bedroom units,v3822960,106.3.2,932.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Two bedroom units,v3823094,106.3.3,1132.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Three bedroom units,v3823228,106.3.4,1320.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,One bedroom units,v3823496,106.2.2,922.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Two bedroom units,v3823630,106.2.3,1130.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Three bedroom units,v3823764,106.2.4,1286.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Bachelor units,v3823898,106.1.1,766.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,One bedroom units,v3824032,106.1.2,932.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Two bedroom units,v3824166,106.1.3,1132.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Three bedroom units,v3824300,106.1.4,1396.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Bachelor units,v3824434,106.4.1,770.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,One bedroom units,v3824622,106.4.2,936.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Two bedroom units,v3824810,106.4.3,1134.0
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Three bedroom units,v3824998,106.4.4,1415.0
2013,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Bachelor units,v3822835,125.3.1,873.0
2013,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,One bedroom units,v3822969,125.3.2,1032.0
2013,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Two bedroom units,v3823103,125.3.3,1211.0
2013,"Toronto, Ontario",2011S0503535,Row and apartment structures of three units and over,Three bedroom units,v3823237,125.3.4,1461.0
2013,"Toronto, Ontario",2011S0503535,Row structures of three units and over,Two bedroom units,v3823639,125.2.3,1099.0
2013,"Toronto, Ontario",2011S0503535,Row structures of three units and over,Three bedroom units,v3823773,125.2.4,1490.0
2013,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Bachelor units,v3823907,125.1.1,873.0
2013,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,One bedroom units,v3824041,125.1.2,1032.0
2013,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Two bedroom units,v3824175,125.1.3,1213.0
2013,"Toronto, Ontario",2011S0503535,Apartment structures of three units and over,Three bedroom units,v3824309,125.1.4,1454.0
2013,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Bachelor units,v3824443,125.4.1,878.0
2013,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,One bedroom units,v3824631,125.4.2,1033.0
2013,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Two bedroom units,v3824819,125.4.3,1210.0
2013,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Three bedroom units,v3825007,125.4.4,1437.0
2013,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,Bachelor units,v3822837,184.3.1,878.0
2013,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,One bedroom units,v3822971,184.3.2,1005.0
2013,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,Two bedroom units,v3823105,184.3.3,1287.0
2013,"Vancouver, British Columbia",2011S0503933,Row and apartment structures of three units and over,Three bedroom units,v3823239,184.3.4,1514.0
2013,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,Bachelor units,v3823373,184.2.1,1124.0
2013,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,One bedroom units,v3823507,184.2.2,945.0
2013,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,Two bedroom units,v3823641,184.2.3,1459.0
2013,"Vancouver, British Columbia",2011S0503933,Row structures of three units and over,Three bedroom units,v3823775,184.2.4,1530.0
2013,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,Bachelor units,v3823909,184.1.1,876.0
2013,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,One bedroom units,v3824043,184.1.2,1005.0
2013,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,Two bedroom units,v3824177,184.1.3,1281.0
2013,"Vancouver, British Columbia",2011S0503933,Apartment structures of three units and over,Three bedroom units,v3824311,184.1.4,1498.0
2013,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,Bachelor units,v3824445,184.4.1,877.0
2013,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,One bedroom units,v3824633,184.4.2,1006.0
2013,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,Two bedroom units,v3824821,184.4.3,1282.0
2013,"Vancouver, British Columbia",2011S0503933,Apartment structures of six units and over,Three bedroom units,v3825009,184.4.4,1504.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Bachelor units,v3822825,37.3.1,554.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,One bedroom units,v3822959,37.3.2,630.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Two bedroom units,v3823093,37.3.3,750.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Three bedroom units,v3823227,37.3.4,837.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Two bedroom units,v3823629,37.2.3,749.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Three bedroom units,v3823763,37.2.4,890.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Bachelor units,v3823897,37.1.1,554.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,One bedroom units,v3824031,37.1.2,630.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Two bedroom units,v3824165,37.1.3,750.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Three bedroom units,v3824299,37.1.4,836.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Bachelor units,v3824433,37.4.1,572.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,One bedroom units,v3824621,37.4.2,649.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Two bedroom units,v3824809,37.4.3,753.0
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Three bedroom units,v3824997,37.4.4,838.0
2014,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,Bachelor units,v3822821,46.3.1,569.0
2014,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,One bedroom units,v3822955,46.3.2,655.0
2014,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,Two bedroom units,v3823089,46.3.3,739.0
2014,"Montréal, Quebec",2011S0503462,Row and apartment structures of three units and over,Three bedroom units,v3823223,46.3.4,898.0
2014,"Montréal, Quebec",2011S0503462,Row structures of three units and over,One bedroom units,v3823491,46.2.2,692.0
2014,"Montréal, Quebec",2011S0503462,Row structures of three units and over,Two bedroom units,v3823625,46.2.3,842.0
2014,"Montréal, Quebec",2011S0503462,Row structures of three units and over,Three bedroom units,v3823759,46.2.4,1045.0
2014,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,Bachelor units,v3823893,46.1.1,569.0
2014,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,One bedroom units,v3824027,46.1.2,655.0
2014,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,Two bedroom units,v3824161,46.1.3,739.0
2014,"Montréal, Quebec",2011S0503462,Apartment structures of three units and over,Three bedroom units,v3824295,46.1.4,898.0
2014,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,Bachelor units,v3824429,46.4.1,576.0
2014,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,One bedroom units,v3824617,46.4.2,693.0
2014,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,Two bedroom units,v3824805,46.4.3,761.0
2014,"Montréal, Quebec",2011S0503462,Apartment structures of six units and over,Three bedroom units,v3824993,46.4.4,896.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Bachelor units,v3822824,105.3.1,749.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,One bedroom units,v3822958,105.3.2,892.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Two bedroom units,v3823092,105.3.3,1015.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Three bedroom units,v3823226,105.3.4,1183.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,One bedroom units,v3823494,105.2.2,921.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Two bedroom units,v3823628,105.2.3,1103.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Three bedroom units,v3823762,105.2.4,1269.0
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Bachelor units,v3823896,105.1.1,749.0
